PlayerName,Year,Innings,Runs,Balls,Outs,Avg,SR,HS,50,100,4s,6s,Dot %
AM Rahane,2021 , 1 , 8 , 8 , 1 , 8.0 , 100.0 , 8 , 0 , 0 , 1 , 0 , 50.0 
AM Rahane,2020 , 8 , 113 , 107 , 8 , 14.1 , 105.6 , 60 , 1 , 0 , 12 , 2 , 43.9 
AM Rahane,2019 , 13 , 393 , 285 , 12 , 32.8 , 137.9 , 105 , 1 , 1 , 45 , 9 , 35.4 
RA Tripathi,2021 , 5 , 127 , 89 , 5 , 25.4 , 142.7 , 53 , 1 , 0 , 12 , 4 , 30.3 
RA Tripathi,2020 , 11 , 230 , 181 , 10 , 23.0 , 127.1 , 81 , 1 , 0 , 21 , 10 , 42.0 
RA Tripathi,2019 , 7 , 141 , 118 , 6 , 23.5 , 119.5 , 50 , 1 , 0 , 13 , 2 , 32.2 
MJ McClenaghan,2019 , 4 , 11 , 16 , 3 , 3.7 , 68.8 , 10 , 0 , 0 , 2 , 0 , 68.8 
MJ McClenaghan,2018 , 4 , 11 , 10 , 2 , 5.5 , 110.0 , 11 , 0 , 0 , 1 , 1 , 70.0 
MJ McClenaghan,2017 , 5 , 16 , 15 , 4 , 4.0 , 106.7 , 12 , 0 , 0 , 0 , 1 , 33.3 
SPD Smith,2021 , 3 , 76 , 66 , 2 , 38.0 , 115.2 , 34 , 0 , 0 , 7 , 1 , 30.3 
SPD Smith,2020 , 14 , 311 , 237 , 12 , 25.9 , 131.2 , 69 , 3 , 0 , 32 , 9 , 35.0 
SPD Smith,2019 , 10 , 319 , 275 , 8 , 39.9 , 116.0 , 73 , 3 , 0 , 30 , 4 , 33.1 
SL Malinga,2017 , 2 , 7 , 3 , 0 , - , 233.3 , 7 , 0 , 0 , 0 , 1 , 33.3 
SL Malinga,2015 , 1 , 6 , 10 , 0 , - , 60.0 , 6 , 0 , 0 , 1 , 0 , 70.0 
SL Malinga,2014 , 1 , 2 , 4 , 1 , 2.0 , 50.0 , 2 , 0 , 0 , 0 , 0 , 50.0 
MK Tiwary,2018 , 4 , 47 , 44 , 3 , 15.7 , 106.8 , 35 , 0 , 0 , 4 , 1 , 40.9 
MK Tiwary,2017 , 13 , 324 , 236 , 10 , 32.4 , 137.3 , 60 , 2 , 0 , 31 , 11 , 30.1 
MK Tiwary,2015 , 2 , 57 , 56 , 2 , 28.5 , 101.8 , 32 , 0 , 0 , 8 , 1 , 50.0 
JJ Bumrah,2021 , 3 , 4 , 6 , 1 , 4.0 , 66.7 , 3 , 0 , 0 , 0 , 0 , 33.3 
JJ Bumrah,2020 , 1 , 5 , 3 , 0 , - , 166.7 , 5 , 0 , 0 , 0 , 0 , 0.0 
JJ Bumrah,2019 , 1 , 0 , 1 , 0 , - , 0.0 , 0 , 0 , 0 , 0 , 0 , 100.0 
KV Sharma,2017 , 6 , 49 , 41 , 6 , 8.2 , 119.5 , 19 , 0 , 0 , 5 , 2 , 43.9 
KV Sharma,2016 , 3 , 36 , 30 , 0 , - , 120.0 , 26 , 0 , 0 , 3 , 1 , 40.0 
KV Sharma,2015 , 9 , 104 , 85 , 6 , 17.3 , 122.4 , 32 , 0 , 0 , 3 , 6 , 30.6 
KH Pandya,2021 , 5 , 29 , 27 , 4 , 7.2 , 107.4 , 15 , 0 , 0 , 4 , 0 , 40.7 
KH Pandya,2020 , 11 , 109 , 92 , 6 , 18.2 , 118.5 , 34 , 0 , 0 , 9 , 5 , 41.3 
KH Pandya,2019 , 14 , 183 , 150 , 11 , 16.6 , 122.0 , 42 , 0 , 0 , 18 , 5 , 38.7 
HH Pandya,2021 , 5 , 36 , 37 , 5 , 7.2 , 97.3 , 15 , 0 , 0 , 5 , 0 , 48.6 
HH Pandya,2020 , 13 , 281 , 157 , 8 , 35.1 , 179.0 , 60 , 1 , 0 , 14 , 25 , 31.8 
HH Pandya,2019 , 15 , 402 , 210 , 9 , 44.7 , 191.4 , 91 , 1 , 0 , 28 , 29 , 27.6 
MS Dhoni,2021 , 4 , 37 , 30 , 3 , 12.3 , 123.3 , 18 , 0 , 0 , 4 , 1 , 46.7 
MS Dhoni,2020 , 12 , 200 , 172 , 8 , 25.0 , 116.3 , 47 , 0 , 0 , 16 , 7 , 40.7 
MS Dhoni,2019 , 12 , 416 , 309 , 5 , 83.2 , 134.6 , 84 , 3 , 0 , 22 , 23 , 35.3 
LMP Simmons,2017 , 7 , 137 , 112 , 7 , 19.6 , 122.3 , 66 , 2 , 0 , 10 , 8 , 47.3 
LMP Simmons,2016 , 1 , 8 , 8 , 1 , 8.0 , 100.0 , 8 , 0 , 0 , 0 , 1 , 62.5 
LMP Simmons,2015 , 13 , 540 , 441 , 12 , 45.0 , 122.4 , 71 , 6 , 0 , 56 , 21 , 45.6 
PA Patel,2019 , 14 , 373 , 268 , 14 , 26.6 , 139.2 , 67 , 2 , 0 , 48 , 10 , 38.1 
PA Patel,2018 , 6 , 153 , 109 , 5 , 30.6 , 140.4 , 53 , 1 , 0 , 20 , 4 , 37.6 
PA Patel,2017 , 16 , 395 , 293 , 16 , 24.7 , 134.8 , 70 , 2 , 0 , 49 , 8 , 36.5 
JD Unadkat,2021 , 2 , 35 , 24 , 1 , 35.0 , 145.8 , 24 , 0 , 0 , 2 , 2 , 33.3 
JD Unadkat,2020 , 1 , 9 , 13 , 1 , 9.0 , 69.2 , 9 , 0 , 0 , 0 , 0 , 46.2 
JD Unadkat,2019 , 2 , 1 , 3 , 1 , 1.0 , 33.3 , 1 , 0 , 0 , 0 , 0 , 66.7 
Washington Sundar,2021 , 2 , 18 , 27 , 2 , 9.0 , 66.7 , 10 , 0 , 0 , 1 , 0 , 55.6 
Washington Sundar,2020 , 9 , 111 , 95 , 6 , 18.5 , 116.8 , 30 , 0 , 0 , 10 , 2 , 31.6 
Washington Sundar,2019 , 2 , 1 , 3 , 2 , 0.5 , 33.3 , 1 , 0 , 0 , 0 , 0 , 66.7 
LH Ferguson,2020 , 2 , 43 , 29 , 0 , - , 148.3 , 24 , 0 , 0 , 4 , 1 , 24.1 
LH Ferguson,2017 , 1 , 1 , 1 , 0 , - , 100.0 , 1 , 0 , 0 , 0 , 0 , 0.0 
SN Thakur,2021 , 1 , 1 , 1 , 1 , 1.0 , 100.0 , 1 , 0 , 0 , 0 , 0 , 0.0 
SN Thakur,2020 , 2 , 12 , 21 , 1 , 12.0 , 57.1 , 11 , 0 , 0 , 0 , 0 , 47.6 
SN Thakur,2019 , 2 , 14 , 7 , 2 , 7.0 , 200.0 , 12 , 0 , 0 , 1 , 1 , 28.6 
RG Sharma,2021 , 5 , 201 , 154 , 5 , 40.2 , 130.5 , 63 , 1 , 0 , 14 , 9 , 33.1 
RG Sharma,2020 , 12 , 332 , 260 , 12 , 27.7 , 127.7 , 80 , 3 , 0 , 27 , 19 , 44.6 
RG Sharma,2019 , 15 , 405 , 315 , 14 , 28.9 , 128.6 , 67 , 2 , 0 , 52 , 10 , 40.3 
AT Rayudu,2021 , 4 , 64 , 41 , 4 , 16.0 , 156.1 , 27 , 0 , 0 , 2 , 6 , 36.6 
AT Rayudu,2020 , 11 , 359 , 282 , 9 , 39.9 , 127.3 , 71 , 1 , 0 , 30 , 12 , 32.3 
